fecha,feminicidios,feminicidios_tentativa,homicidios,violencia_familiar
2000-01-01,,,3.0,
2000-02-01,,,,10.0
2000-03-01,,,2.0,10.0
2000-04-01,,,6.0,12.0
2000-05-01,,,2.0,26.0
2000-06-01,,,5.0,19.0
2000-07-01,,,1.0,39.0
2000-08-01,,,2.0,33.0
2000-09-01,,,2.0,42.0
2000-10-01,,,,33.0
2000-11-01,,,,28.0
2000-12-01,,,3.0,24.0
2001-01-01,,,3.0,34.0
2001-02-01,,,,36.0
2001-03-01,,,3.0,45.0
2001-04-01,,,,43.0
2001-05-01,,,3.0,47.0
2001-06-01,,,,46.0
2001-07-01,,,,76.0
2001-08-01,,,1.0,78.0
2001-09-01,,,2.0,52.0
2001-10-01,,,1.0,47.0
2001-11-01,,,1.0,53.0
2001-12-01,,,1.0,51.0
2002-01-01,,,3.0,49.0
2002-02-01,,,3.0,70.0
2002-03-01,,,2.0,98.0
2002-04-01,,,2.0,147.0
2002-05-01,,,1.0,192.0
2002-06-01,,,4.0,205.0
2002-07-01,,,,146.0
2002-08-01,,,1.0,171.0
2002-09-01,,,3.0,131.0
2002-10-01,,,,196.0
2002-11-01,,,2.0,155.0
2002-12-01,,,1.0,141.0
2003-01-01,,,,137.0
2003-02-01,,,2.0,122.0
2003-03-01,,,3.0,190.0
2003-04-01,,,1.0,197.0
2003-05-01,,,2.0,244.0
2003-06-01,,,4.0,251.0
2003-07-01,,,,221.0
2003-08-01,,,1.0,201.0
2003-09-01,,,4.0,168.0
2003-10-01,,,3.0,183.0
2003-11-01,,,2.0,232.0
2003-12-01,,,,173.0
2004-01-01,,,1.0,155.0
2004-02-01,,,3.0,257.0
2004-03-01,,,2.0,306.0
2004-04-01,,,3.0,282.0
2004-05-01,,,1.0,539.0
2004-06-01,,,3.0,578.0
2004-07-01,,,3.0,623.0
2004-08-01,,,2.0,539.0
2004-09-01,,,3.0,513.0
2004-10-01,,,3.0,511.0
2004-11-01,,,,466.0
2004-12-01,,,1.0,389.0
2005-01-01,,,1.0,425.0
2005-02-01,,,3.0,413.0
2005-03-01,,,,449.0
2005-04-01,,,1.0,499.0
2005-05-01,,,,627.0
2005-06-01,,,3.0,761.0
2005-07-01,,,4.0,695.0
2005-08-01,,,,751.0
2005-09-01,,,1.0,691.0
2005-10-01,,,1.0,609.0
2005-11-01,,,2.0,553.0
2005-12-01,,,3.0,456.0
2006-01-01,,,4.0,704.0
2006-02-01,,,4.0,625.0
2006-03-01,,,2.0,805.0
2006-04-01,,,,773.0
2006-05-01,,,2.0,951.0
2006-06-01,,,2.0,971.0
2006-07-01,,,2.0,884.0
2006-08-01,,,2.0,710.0
2006-09-01,,,1.0,636.0
2006-10-01,,,2.0,573.0
2006-11-01,,,2.0,479.0
2006-12-01,,,1.0,400.0
2007-01-01,,,3.0,454.0
2007-02-01,,,1.0,601.0
2007-03-01,,,2.0,748.0
2007-04-01,,,,713.0
2007-05-01,,,5.0,905.0
2007-06-01,,,,955.0
2007-07-01,,,6.0,887.0
2007-08-01,,,1.0,1009.0
2007-09-01,,,,927.0
2007-10-01,,,2.0,820.0
2007-11-01,,,2.0,623.0
2007-12-01,,,1.0,618.0
2008-01-01,,,1.0,505.0
2008-02-01,,,3.0,645.0
2008-03-01,,,2.0,713.0
2008-04-01,,,2.0,856.0
2008-05-01,,,1.0,838.0
2008-06-01,,,3.0,788.0
2008-07-01,,,2.0,781.0
2008-08-01,,,2.0,801.0
2008-09-01,,,4.0,693.0
2008-10-01,,,,681.0
2008-11-01,,,3.0,537.0
2008-12-01,,,5.0,507.0
2009-01-01,,,5.0,496.0
2009-02-01,,,2.0,532.0
2009-03-01,,,,655.0
2009-04-01,,,4.0,727.0
2009-05-01,,,,787.0
2009-06-01,,,2.0,876.0
2009-07-01,,,1.0,883.0
2009-08-01,,,6.0,724.0
2009-09-01,,,4.0,572.0
2009-10-01,,,4.0,509.0
2009-11-01,,,2.0,487.0
2009-12-01,,,5.0,409.0
2010-01-01,,,3.0,444.0
2010-02-01,,,2.0,515.0
2010-03-01,,,5.0,601.0
2010-04-01,,,2.0,577.0
2010-05-01,,,7.0,710.0
2010-06-01,,,6.0,725.0
2010-07-01,,,6.0,603.0
2010-08-01,,,2.0,678.0
2010-09-01,,,11.0,574.0
2010-10-01,,,5.0,561.0
2010-11-01,,,5.0,501.0
2010-12-01,,,11.0,424.0
2011-01-01,,,13.0,406.0
2011-02-01,,,4.0,476.0
2011-03-01,,,9.0,722.0
2011-04-01,,,8.0,694.0
2011-05-01,,,19.0,750.0
2011-06-01,,,17.0,729.0
2011-07-01,,,18.0,691.0
2011-08-01,,,15.0,699.0
2011-09-01,,,15.0,711.0
2011-10-01,,,17.0,629.0
2011-11-01,,,18.0,633.0
2011-12-01,,,9.0,472.0
2012-01-01,,,17.0,613.0
2012-02-01,,,8.0,527.0
2012-03-01,,,12.0,699.0
2012-04-01,,,11.0,766.0
2012-05-01,,,6.0,899.0
2012-06-01,,,3.0,898.0
2012-07-01,,,9.0,867.0
2012-08-01,,,17.0,879.0
2012-09-01,,,13.0,734.0
2012-10-01,,,12.0,716.0
2012-11-01,,,5.0,583.0
2012-12-01,,,9.0,557.0
2013-01-01,,,9.0,654.0
2013-02-01,,,8.0,765.0
2013-03-01,,,8.0,784.0
2013-04-01,,,9.0,915.0
2013-05-01,,,9.0,991.0
2013-06-01,,,7.0,1074.0
2013-07-01,,,9.0,1063.0
2013-08-01,,,8.0,917.0
2013-09-01,,,6.0,932.0
2013-10-01,,,6.0,892.0
2013-11-01,,,4.0,729.0
2013-12-01,1.0,,8.0,692.0
2014-01-01,,,6.0,774.0
2014-02-01,,,7.0,850.0
2014-03-01,,,5.0,907.0
2014-04-01,,,9.0,899.0
2014-05-01,,,4.0,1118.0
2014-06-01,,,6.0,1288.0
2014-07-01,,,4.0,1388.0
2014-08-01,,,7.0,1214.0
2014-09-01,,,8.0,1185.0
2014-10-01,,,2.0,1217.0
2014-11-01,,,4.0,825.0
2014-12-01,,,7.0,1099.0
2015-01-01,,,3.0,893.0
2015-02-01,,,7.0,954.0
2015-03-01,,,2.0,1083.0
2015-04-01,,,2.0,1215.0
2015-05-01,,,5.0,1344.0
2015-06-01,1.0,,5.0,1406.0
2015-07-01,,,4.0,1389.0
2015-08-01,,,2.0,1424.0
2015-09-01,,,4.0,1459.0
2015-10-01,,,10.0,1221.0
